Strain,Environment
TUB0,LB
TUB0,LB
TUB0,LB
TUB10,LB
TUB10,LB
TUB10,LB
TUB13,LB
TUB13,LB
TUB13,LB
TUB0,19-0-30
TUB0,19-0-30
TUB0,19-0-30
TUB10,19-0-30
TUB10,19-0-30
TUB10,19-0-30
TUB13,19-0-30
TUB13,19-0-30
TUB13,19-0-30
TUB0,19-30-1
TUB0,19-30-1
TUB0,19-30-1
TUB10,19-30-1
TUB10,19-30-1
TUB10,19-30-1
TUB13,19-30-1
TUB13,19-30-1
TUB13,19-30-1
TUB0,13-30-0
TUB0,13-30-0
TUB0,13-30-0
TUB10,13-30-0
TUB10,13-30-0
TUB10,13-30-0
TUB13,13-30-0
TUB13,13-30-0
TUB13,13-30-0
TUB0,0-30-0
TUB0,0-30-0
TUB0,0-30-0
TUB10,0-30-0
TUB10,0-30-0
TUB10,0-30-0
TUB13,0-30-0
TUB13,0-30-0
TUB13,0-30-0
TUB0,0-100-0
TUB0,0-100-0
TUB0,0-100-0
TUB10,0-100-0
TUB10,0-100-0
TUB10,0-100-0
TUB13,0-100-0
TUB13,0-100-0
TUB13,0-100-0